h,r,t
1516,217937,1
1464,51751,1
1685,142689,1
1352,216125,1
519,178205,1
357,197812,1
1383,213611,1
89,145861,1
1893,188581,1
759,140219,1
573,46563,1
267,173224,1
305,78196,1
2329,147822,1
1891,172397,1
364,204172,1
778,188368,1
50,186646,1
283,167861,1
2109,54022,1
1510,219855,1
2476,205192,1
1058,86026,1
1197,139402,1
509,101282,1
1752,118663,1
393,152388,1
1060,87390,1
175,135969,1
1098,95787,1
65,183910,1
1935,158981,1
1775,81009,1
115,171621,1
1809,68489,1
1591,107888,1
778,82392,1
1898,151357,1
1973,93756,1
1696,153482,1
1357,174916,1
778,64732,1
7,102875,1
1720,75568,1
471,111289,1
34,158765,1
2173,178194,1
869,218839,1
1196,72492,1
1571,207107,1
1651,102144,1
1949,115055,1
1599,134129,1
866,209737,1
1215,79527,1
1537,157009,1
2324,163526,1
1280,52089,1
40,167752,1
1174,69737,1
441,210416,1
1485,210054,1
1037,225879,1
305,55386,1
963,189475,1
1157,55911,1
200,182845,1
267,131306,1
614,129926,1
65,109689,1
460,79391,1
753,199462,1
2374,99862,1
1287,122072,1
2262,115923,1
2315,173055,1
813,128008,1
1407,71083,1
170,66652,1
1668,225934,1
2109,99427,1
575,118552,1
607,203341,1
1280,184340,1
337,142232,1
963,113302,1
1537,143011,1
1536,67559,1
1749,53210,1
1983,191041,1
1510,150744,1
2176,48205,1
1600,190140,1
65,217662,1
660,172397,1
1407,71083,1
59,225088,1
2459,201277,1
2099,180112,1
270,86338,1
2374,80069,1
1196,193546,1
285,89196,1
1135,81306,1
179,155755,1
1003,164283,1
1502,127843,1
1853,167801,1
472,75862,1
1945,183388,1
515,187146,1
1333,101123,1
337,148694,1
1109,210258,1
242,168872,1
364,73591,1
270,46275,1
2308,214707,1
1945,201153,1
150,79498,1
575,113297,1
622,144834,1
1298,167133,1
1911,144803,1
2473,181799,1
2083,66835,1
175,55246,1
1696,223107,1
45,74464,1
713,157435,1
941,168256,1
573,162796,1
275,69936,1
1293,160629,1
1203,90078,1
1163,189537,1
1730,46678,1
2470,188947,1
1869,160382,1
990,142539,1
1935,70355,1
2374,166644,1
622,153239,1
1945,160743,1
1023,57062,1
1598,147420,1
1215,155262,1
1156,80601,1
437,86759,1
460,175976,1
396,190345,1
1725,132865,1
795,205242,1
1215,218885,1
1197,189169,1
1956,173578,1
607,182588,1
2463,141036,1
1154,125348,1
396,82764,1
2129,54638,1
421,133177,1
1566,145692,1
1777,89577,1
444,62150,1
813,116510,1
1352,179624,1
2117,157650,1
573,90032,1
1563,195875,1
1068,125000,1
1163,198047,1
1510,113936,1
659,137948,1
1376,218057,1
1197,199969,1
1752,61006,1
1637,130536,1
1503,185746,1
1467,221276,1
7,142286,1
2489,167520,1
410,73876,1
270,137960,1
1661,65448,1
65,170759,1
2188,91284,1
2139,104250,1
357,220926,1
168,160731,1
754,209652,1
1554,82505,1
802,171192,1
1336,77302,1
1766,56231,1
343,74163,1
1208,66921,1
2476,207246,1
364,146051,1
1454,221473,1
795,101419,1
1008,84556,1
1731,159009,1
1984,46635,1
115,206038,1
275,46788,1
990,193951,1
267,156275,1
275,119058,1
1219,141922,1
1350,64529,1
727,60094,1
548,81274,1
1184,105859,1
759,129888,1
2428,226799,1
357,168208,1
75,154458,1
940,60996,1
554,93556,1
1945,82724,1
1720,82048,1
2488,117534,1
642,140893,1
364,123253,1
197,203717,1
1114,71015,1
1197,109693,1
51,80235,1
1153,170479,1
1997,55403,1
1280,85568,1
1651,208936,1
1979,148269,1
2294,102945,1
2310,138592,1
580,84442,1
1945,190592,1
2176,161700,1
975,87069,1
115,207930,1
592,192084,1
2224,140900,1
2464,211082,1
175,193261,1
778,176529,1
364,63135,1
1779,120046,1
2176,54162,1
250,118000,1
1170,144204,1
1958,65556,1
2262,221663,1
1673,120034,1
1443,79747,1
2381,157256,1
273,131104,1
1197,214632,1
1556,223625,1
1454,98542,1
270,68849,1
798,75898,1
410,56341,1
1536,129927,1
2355,128812,1
1408,188320,1
867,73038,1
1408,161049,1
816,59833,1
794,91835,1
2253,226344,1
1156,147923,1
2374,98178,1
2389,167607,1
2185,137556,1
1623,209141,1
607,200052,1
851,162842,1
632,63362,1
1838,57758,1
686,158982,1
396,95476,1
1174,103756,1
2083,208685,1
193,165689,1
275,122313,1
1651,146781,1
167,96034,1
1556,144504,1
2224,211315,1
45,110233,1
1058,208120,1
1661,191388,1
1196,134025,1
162,195611,1
2467,195926,1
1612,54124,1
1804,47432,1
1777,134592,1
1035,82135,1
3,207799,1
1391,155744,1
1346,112971,1
2487,47832,1
